,分词,计数
2473,交代,5
2501,老板,5
2507,魅力,5
2581,没法,5
2604,受害者,5
2606,流行,5
2624,人马,5
2672,勇气,5
2720,无限,5
2730,一分,5
2792,此起彼伏,5
2853,谐音,5
2869,胯,5
2917,生活化,5
2971,契机,5
2975,系列,5
2976,生气,5
3000,撑,5
3008,天,5
3027,皆,5
3094,吸引,5
3097,年度,5
3100,指,5
3104,出乎意料,5
3121,近,5
3141,衔接,5
3197,贺岁片,5
3282,高光,5
3311,嬉笑怒骂,5
3390,旧,5
3395,棒,5
3444,教,5
3458,666,5
3492,打斗,5
3540,回家,5
3556,几年,5
3606,饱满,5
3607,难以,5
3663,朗诵,5
3666,保留,5
3671,亿,5
3791,讓,5
3843,心理,5
3951,追,5
3953,学习,5
3980,仿佛,5
4029,杀人,5
4073,仅仅,5
4099,出身,5
4118,不让,5
4149,土,5
4155,贺岁,5
4163,过度,5
4170,挂,5
4212,源于,5
4219,尹正,5
4312,满分,5
4322,回顾,5
4369,全球,5
4447,家长,5
4632,工作者,5
4663,重,5
4668,接到,5
4688,良心,5
4697,前期,5
4735,好久没,5
4747,遭遇,5
4749,三次,5
4766,卷,5
4784,无比,5
4801,缺少,5
4862,气息,5
4889,2.5,5
4913,本子,5
4949,公司,5
4963,乱七八糟,5
5036,坟墓,5
5293,新人,5
5369,俗气,5
5405,一塌糊涂,5
5416,理想化,5
5460,精英,5
5489,失败,5
5506,一把,5
5637,缺,5
5646,就让,5
5659,人群,5
5690,骨子里,5
5717,好感,5
5719,无奈,5
5739,落地,5
5743,存子,5
5855,及格线,5
5878,扮演,5
5890,看不下去,5
5902,探讨,5
5995,好玩,5
6008,戏剧性,5
6079,脑海中,5
6127,落泪,5
6167,奔,5
6190,国产电影,5
6519,第一部,5
6562,李雪琴,5
6630,嵌套,5
6747,拼接,5
6759,多人,5
6790,参加,5
6799,词,5
6852,挺烂,5
6865,忽悠,5
6941,提升,5
6975,引发,5
6993,八千里,5
7019,胡闹,5
7024,隔壁,5
7033,男生,5
7034,天生,5
7093,交流,5
7122,忽略,5
7171,妈呀,5
7470,深深,5
7499,脚趾,5
7528,批评,5
7548,全国,5
7569,忘记,5
7610,功能,5
7675,圆满,5
7682,打架,5
7683,眼前,5
7708,艰辛,5
7713,两段,5
7757,人文,5
7787,童话,5
7848,开幕,5
7873,选,5
7893,2022,5
7927,扎实,5
7950,TM,5
7960,错,5
8063,声音,5
8299,克制,5
8306,符号,5
8316,互联网,5
8317,乔杉演,5
8353,突如其来,5
8389,真情实感,5
8451,冷,5
8519,豫剧,5
8627,应,5
8659,在乎,5
8688,热,5
8700,双线,5
8730,大杂烩,5
8754,美化,5
8795,铺,5
8822,小女孩,5
8838,随便,5
8886,呈现出,5
8918,精准,5
8922,原本,5
8950,整,5
8953,平衡,5
8956,降智,5
9070,拒绝,5
9080,爆发,5
9092,槽,5
9183,脚,5
9188,一个个,5
9192,奉献,5
9201,疫情,5
9207,精忠报国,5
9227,話,5
9229,动容,5
9242,颜值,5
9251,喊,5
9274,可贵,5
9279,放大,5
9288,还好,5
9314,黄金,5
9338,电子,5
9353,自以为是,5
9378,可笑,5
9387,姑妈,5
9527,日本,5
9563,老丈人,5
9579,道路,5
9625,模仿,5
9635,足以,5
9691,心思,5
9748,难受,5
9790,怪,5
9812,一出场,5
9840,天下,5
9917,奸臣,5
9919,祝,5
9955,不看,5
