,分词,计数
11620,傻子,28
11792,留下,28
13288,一条,28
14210,小时候,28
14593,之下,28
16229,保,28
18446,输出,28
18490,纪录片,28
18493,几次,28
18830,看不到,28
19676,说实话,28
19747,尸体,28
19942,做作,28
20310,江湖,28
20722,标准,28
22721,莫名,28
22910,第一个,28
23470,大排档,28
23884,迷影,28
24010,剩下,28
24371,谍战,28
25123,摄影机,28
25635,科技,28
27796,包,28
28613,明日,28
89,沦为,27
275,起码,27
1323,过年,27
1393,前半部,27
5171,相互,27
5931,新颖,27
7045,第二季,27
7132,盗墓,27
7958,偏,27
8840,离开,27
9140,无厘头,27
9556,外,27
13231,巧妙,27
14008,坐在,27
14240,贴,27
14807,加一星,27
14921,张,27
15070,阿瑟,27
15470,议题,27
15618,大过年,27
15637,鸡汤,27
16932,出乎意料,27
17476,远,27
19917,好听,27
20222,脱口秀,27
20372,林,27
20513,恨,27
20746,干,27
20906,瑕疵,27
21155,一众,27
21168,技巧,27
23195,我会,27
24285,大人,27
24367,日常,27
25045,有个,27
25257,隔壁,27
25277,武打,27
25396,谣言,27
25834,是从,27
26383,花絮,27
27672,试飞,27
27830,儿童,27
27895,听到,27
308,泪目,26
414,春晚,26
1064,略显,26
1517,神话,26
1891,计划,26
2595,改变,26
2618,难受,26
3442,麦兆辉,26
3572,方向,26
3672,喊,26
3701,野心,26
4310,画像,26
5670,派,26
6023,意识,26
6500,流浪,26
11001,一路,26
11429,乔杉,26
12032,加油,26
12114,方欣,26
12359,黑,26
12453,对不起,26
12626,信息,26
12901,颇,26
13543,难以,26
13872,痕迹,26
13899,"""",26
14329,cp,26
14942,三年,26
15241,一人,26
16573,欢乐,26
18504,互动,26
18916,荒诞,26
19299,藏,26
20686,30,26
22414,对手戏,26
22422,命运,26
22874,儿戏,26
22993,面前,26
23436,没能,26
23859,首映,26
25992,想想,26
26022,功力,26
27512,拍成,26
27852,吵架,26
28207,蒋龙,26
1750,音效,25
1957,夜生活,25
2009,可圈可点,25
2856,平淡,25
4096,探讨,25
4852,丝毫,25
5099,脑,25
5250,没法,25
6427,超,25
8089,有没有,25
9821,毛病,25
10978,夸张,25
12904,摔,25
12945,公司,25
13274,作用,25
13282,如鲠在喉,25
13358,体现,25
14097,这才,25
15420,踩,25
16247,燃,25
16462,电影版,25
17020,代表,25
17295,高光,25
17536,换成,25
17923,娱乐,25
19172,放大,25
20462,捧,25
20705,工业,25
21464,低级,25
22516,走出,25
23010,好久没,25
24423,不该,25
25042,做出,25
25132,大熊,25
25591,关注,25
26374,怂,25
26644,恰到好处,25
26855,属实,25
27345,滤镜,25
54,对白,24
389,后悔,24
1192,晚上,24
2067,这一,24
3110,粤语,24
3848,正确,24
4151,学习,24
4408,有时候,24
4589,略,24
4853,太岁,24
5620,消亡,24
5689,风云,24
6180,群像,24
6659,动画片,24
7960,独行,24
8203,群体,24
9874,构图,24
9923,打破,24
10513,世纪,24
10789,太烂,24
12410,思路,24
12691,双向,24
12967,一塌糊涂,24
15042,满意,24
15704,凑,24
15859,受众,24
16175,魔,24
16244,拿捏,24
16304,浪费时间,24
16596,爆笑,24
16823,林家栋,24
17308,换,24
17478,两年,24
18541,道具,24
18862,帅,24
19324,版本,24
21689,救命,24
22510,女主角,24
22831,女婿,24
22979,拼,24
25214,说服力,24
25717,温馨,24
25735,重,24
27212,一分,24
27761,弱,24
27829,沉浸,24
27924,悲剧,24
28107,一对,24
28258,棒,24
353,事儿,23
642,良心,23
734,第二部,23
823,呜呜,23
1737,岳云鹏,23
1754,以往,23
2270,直播,23
2458,相遇,23
3044,碎片,23
4791,秦桧,23
4818,区别,23
5855,忍不住,23
6748,不合理,23
7297,突破,23
7464,影视,23
7880,可怜,23
8481,几处,23
8619,白百何,23
8906,级,23
8936,花样年华,23
9275,框架,23
10623,纯爱,23
10688,自由,23
10857,推动,23
11276,守护,23
11445,太好了,23
11817,期,23
11924,情况,23
12028,普通人,23
12601,诠释,23
13405,笑声,23
13858,童话,23
14519,忽略,23
15190,渲染,23
15417,说话,23
15455,近几年,23
16046,忘记,23
16048,其他人,23
16879,美国,23
16900,公道,23
17019,90,23
18430,满分,23
18714,100,23
18722,爆,23
18985,哥,23
19178,爆米花,23
19321,一件,23
19370,舒适,23
19742,层层,23
20546,客观,23
21158,组织,23
21349,何岸,23
22028,一個,23
22128,缺陷,23
22679,把握,23
22697,堪称,23
22925,封建,23
24232,布景,23
24346,银河,23
24899,贼,23
25113,作,23
25653,原版,23
25780,票,23
26191,心中,23
26747,替身,23
26752,记得,23
26957,包装,23
27434,就让,23
28352,烦恼,23
67,7.5,22
912,长沙人,22
2148,无比,22
2531,唏嘘,22
2912,惨,22
3640,买票,22
3934,错,22
4970,戏外,22
5132,青年,22
6212,唱,22
6282,抓住,22
6413,之上,22
6856,丑,22
7158,路演,22
7221,陪伴,22
8793,方法,22
9426,严肃,22
9786,美味,22
10112,奔赴,22
11160,全世界,22
11321,甜,22
11370,男友,22
11819,味,22
11852,北京,22
12552,一部分,22
13266,气息,22
13286,宣传片,22
14108,消费,22
15319,故事情节,22
16398,纸,22
16448,纯纯,22
16692,尊重,22
16867,杜宇,22
16881,成立,22
17156,提,22
17447,再也,22
18073,打开,22
18266,层面,22
18314,承认,22
18591,飞,22
20060,评论,22
20263,空军,22
21806,循环,22
22945,一遍,22
23099,可视化,22
23556,篇幅,22
24253,人间,22
24484,振华,22
25083,东北,22
25930,受,22
25940,剧透,22
26020,四个,22
26129,弧光,22
26520,一丝,22
27028,祖国,22
27058,爆炸,22
27156,新人,22
27714,克制,22
28365,IP,22
28630,真情,22
68,大叔,21
481,那条,21
543,佳作,21
951,岳父,21
1589,感慨,21
2450,戏里,21
2687,美的,21
3531,美学,21
3980,想见,21
4012,本土,21
4165,玩意,21
4382,配,21
4757,生动,21
5326,睡,21
5515,转场,21
5584,信念,21
6267,周雨彤,21
6397,枭雄,21
6757,目的,21
7010,破案,21
7343,可言,21
8432,死亡,21
9061,此片,21
10676,话剧,21
10749,早就,21
11075,扯,21
12163,欣赏,21
12891,懂得,21
13250,伤害,21
13334,掩盖,21
13513,虚假,21
13554,尽力,21
13682,十分钟,21
13939,小妞,21
14475,轻喜剧,21
15476,潦草,21
15953,影迷,21
17062,片尾曲,21
17239,很烂,21
17289,诡异,21
17304,看不下去,21
17771,悲伤,21
17810,堆砌,21
18849,同居,21
18905,提升,21
19267,体会,21
19315,风再起,21
19426,职场,21
19492,胯,21
19689,聚焦,21
19834,不停,21
20755,恋人,21
21353,理由,21
21367,任达华,21
21659,思想,21
21964,心情,21
21999,热闹,21
22214,15,21
22449,弱智,21
22570,非要,21
23112,mv,21
23310,双雄,21
24074,惊悚片,21
24282,实际上,21
24547,感覺,21
24553,回魂,21
24587,聪明,21
24771,伪,21
24781,强大,21
24968,探长,21
25269,这句,21
25451,可笑,21
25474,解构,21
26036,赞,21
26165,說,21
26243,清白,21
26263,提前,21
26711,做成,21
