,分词,计数
7141,询问,6
7158,演出,6
7295,监狱,6
7331,舒适,6
7362,故事会,6
7403,共情,6
7494,鸡汤,6
7526,家,6
7616,恐怖电影,6
7625,意识,6
7627,第一部,6
7655,太慢,6
7686,单一,6
7701,动人,6
7751,加一星,6
7971,框架,6
8054,狐仙,6
8151,小品,6
8212,影后,6
8230,矛盾,6
8274,魅力,6
8276,狗血,6
8285,弱,6
8309,魔改,6
8342,杜琪峰,6
8346,一位,6
8351,大鹏,6
8355,早就,6
8552,三叔,6
8611,极致,6
8709,衣服,6
8779,还好,6
9082,火灾,6
9087,不像,6
9123,小岳岳,6
9183,周扬,6
9219,娶,6
9284,灵魂,6
9303,经不起,6
9411,冲突,6
5,四,5
126,心,5
152,最佳,5
243,今日,5
249,回到,5
250,味,5
346,拜托,5
445,精髓,5
449,罪恶,5
579,值得一看,5
588,笑点,5
605,致敬,5
645,发,5
710,亲生,5
747,好几个,5
750,年纪,5
799,幽默,5
848,区,5
867,家族,5
877,是从,5
894,揭露,5
901,超越,5
914,庄文强,5
952,TVB,5
956,异常,5
1004,考,5
1034,拿捏,5
1085,参与,5
1197,警匪,5
1206,真相大白,5
1268,区别,5
1274,描述,5
1352,兴趣,5
1357,跳戏,5
1422,誰,5
1469,太好,5
1497,挂羊头卖狗肉,5
1516,潜伏,5
1564,调调,5
1590,愤怒,5
1606,瞅,5
1615,夸,5
1628,意境,5
1633,记忆,5
1668,一件,5
1714,主创,5
1762,丢,5
1774,讽刺,5
1803,这类,5
1809,没看,5
1836,鬼神,5
1841,折磨,5
2011,留给,5
2075,個,5
2083,享受,5
2084,没能,5
2086,分不清,5
2119,意料之中,5
2125,戏码,5
2150,老师,5
2153,拍出,5
2156,灾难,5
2161,作,5
2186,难以,5
2194,一贯,5
2270,不许,5
2284,该片,5
2397,盲探,5
2413,八,5
2467,仅靠,5
2476,滚,5
2479,提前,5
2517,顺利,5
2538,驱动,5
2606,PS,5
2607,放,5
2630,半天,5
2744,巧思,5
2745,冲击力,5
2753,主体,5
2843,原本,5
2844,天赋,5
2849,太烂,5
2855,传统,5
2881,错,5
2883,疯癫,5
2921,高光,5
2935,死者,5
3016,起码,5
3095,相互,5
3153,建国,5
3184,加点,5
3263,裤子,5
3292,错误,5
3310,位置,5
3321,怼,5
3333,无奈,5
3382,披,5
3391,谍战,5
3446,收藏,5
3489,接点,5
3518,廉政,5
3626,职业,5
3635,珍惜,5
3689,陷入,5
3709,求求,5
3713,越来越,5
3727,破,5
3747,狠狠,5
3801,前期,5
3802,网,5
3856,恐惧,5
3912,罪犯,5
3914,对峙,5
3934,思维,5
3975,腔调,5
3982,不难,5
4064,两年,5
4079,來,5
4111,东方,5
4114,别有用心,5
4143,迫害,5
4252,血腥,5
4264,吓死,5
4279,莫名,5
4322,电影票,5
4324,杂乱,5
4329,秒,5
4334,穿插,5
4364,作用,5
4374,解决,5
4400,精良,5
4406,合,5
4442,解密,5
4524,幼稚,5
4616,那個,5
4630,女鬼,5
4683,仅仅,5
4705,贷,5
4707,贡献,5
4758,狠,5
4770,架构,5
4779,心机,5
4814,听到,5
4816,绝,5
4886,瑕不掩瑜,5
4914,画出,5
4940,信息量,5
5009,内心,5
5010,不及,5
5077,砸,5
5105,暴殄天物,5
5128,沉默,5
5148,拆,5
5155,30,5
5202,级,5
5215,观看,5
5257,变化,5
5270,恩斗米,5
5311,说服力,5
5365,灵异,5
5410,痕迹,5
5423,女演员,5
5440,凹,5
5446,懵,5
5493,图,5
5515,模拟,5
5622,城市,5
5628,装逼,5
5652,未来,5
5695,提升,5
5706,粤语版,5
5725,看王,5
5737,香,5
5839,日,5
5950,诡,5
5976,快乐,5
5983,模糊,5
5990,特色,5
6020,瞎子,5
6055,介绍,5
6200,導演,5
6245,奔,5
6272,欺骗,5
6295,雨衣,5
6350,不说,5
6451,对不起,5
6565,眼看,5
6664,拼凑出,5
6740,吊打,5
6788,丑陋,5
6831,侮辱,5
6838,评论,5
6899,美的,5
7001,迎合,5
7244,最烂,5
7342,勉强,5
7404,五一,5
7408,糟糕,5
7418,气死我了,5
7436,沈队,5
7440,一条,5
7475,坨,5
7515,工作,5
7740,妈妈,5
7771,缺乏,5
7813,浓重,5
7825,校园,5
7852,烈火,5
7867,肺,5
7883,奇案,5
7897,口味,5
7937,那套,5
7952,电影版,5
8002,背,5
8057,深渊,5
8118,好感,5
8146,转换,5
8209,除恶,5
8221,证明,5
8262,生命,5
8263,下次,5
8303,淡影,5
8349,个人风格,5
8453,2022,5
8563,思辨,5
8605,稳定,5
8617,一如既往,5
8650,讓,5
8671,出彩,5
8683,足,5
8707,巧合,5
8727,比重,5
8773,伪,5
8801,C,5
8836,渲染,5
8838,纯,5
8863,乏善可陈,5
8907,软弱,5
8916,兴安岭,5
8963,歇斯底里,5
8965,制服,5
8992,良心,5
9022,照相馆,5
9064,片长,5
9066,要死,5
9135,爆发,5
9142,停,5
9157,轻松,5
9171,太行,5
9199,议题,5
9202,梁,5
9231,害死,5
9236,深意,5
9299,忽略,5
9310,好烂,5
9334,变态,5
9340,感都,5
9389,法律,5
9415,层面,5
8,立,4
23,误解,4
69,站,4
100,卖药,4
103,剧中,4
108,稳,4
140,常规,4
161,片尾,4
206,并不多,4
