,分词,计数
8662,没看,5
8676,沦为,5
8705,2.5,5
8714,手机,5
8790,张宥浩,5
8799,投资,5
8893,喷,5
8898,找个,5
8899,两部,5
8994,黑色,5
9045,刚,5
9128,两位,5
9153,玩意,5
9161,幸运,5
9188,便,5
9191,雪橇,5
9211,恋爱,5
9303,砸,5
9315,性,5
9370,仅,5
9489,演绎,5
9512,融入,5
9518,太多,5
9531,剧透,5
9536,坏消息,5
9585,脸谱化,5
9632,数据,5
9683,猥琐,5
9714,肉眼,5
9857,竞争,5
9959,小学,5
10048,控,5
10057,耐心,5
10072,撞,5
10127,五年,5
10183,忘记,5
10273,精良,5
10278,十足,5
10303,荒诞,5
10450,侄子,5
1,沉默,4
34,潘多拉,4
62,出演,4
79,两极分化,4
125,x,4
165,大屏幕,4
173,1.5,4
212,流星,4
240,无语,4
243,虚幻,4
267,心底,4
313,律师,4
328,相互,4
349,大鹅,4
427,满满的,4
477,之战,4
484,不带,4
508,城市,4
519,母子,4
567,等待,4
593,太差,4
601,纸片,4
610,洗,4
612,翻拍,4
664,视觉污染,4
685,点映,4
744,宇宙飞船,4
765,语言,4
794,无可救药,4
815,无病呻吟,4
834,看似,4
849,困境,4
866,哔哩,4
889,想想,4
906,热闹,4
907,实则,4
926,令人窒息,4
946,拒绝,4
958,成就,4
962,还原,4
983,几场,4
1000,影厅,4
1006,爆,4
1018,大爱,4
1033,全球,4
1062,力,4
1074,讓,4
1092,影像,4
1140,这套,4
1155,太美,4
1176,本哥,4
1199,过得去,4
1201,胡一泊,4
1202,屌丝,4
1245,一个半,4
1296,....,4
1312,年前,4
1316,出色,4
1329,背后,4
1389,很久没,4
1399,甲,4
1410,国王,4
1482,杀手,4
1501,80,4
1512,亮灯,4
1579,零碎,4
1585,别拍,4
1596,零,4
1597,我会,4
1629,本土,4
1665,能源,4
1695,指,4
1741,狗屎,4
1769,晚会,4
1842,无人机,4
1845,故事情节,4
1849,半个,4
1859,之光,4
1872,出声,4
1884,小斐,4
1907,当初,4
1939,很漂亮,4
1961,自恋,4
1980,意淫,4
1983,未免,4
2003,拿捏,4
2006,音效,4
2024,哈尔,4
2026,羁绊,4
2056,成分,4
2130,哈哈哈哈,4
2142,你好,4
2146,丢,4
2160,顺畅,4
2165,不见,4
2179,意图,4
2208,放大,4
2226,某部,4
2238,欲望,4
2272,最烂,4
2286,饭店,4
2297,遗忘,4
2312,疲惫,4
2319,严谨,4
2324,艰难,4
2332,撑起,4
2350,吉卜力,4
2435,卻,4
2455,偶像剧,4
2487,40,4
2499,陆小谷,4
2515,现实主义,4
2585,不明,4
2641,拉面,4
2687,反,4
2760,15,4
2794,平平,4
2802,海豹,4
2823,狗,4
2833,奇迹,4
2838,时长,4
2843,提供,4
2845,啊啊啊,4
2871,认知,4
2914,珍惜,4
2928,冲击力,4
2961,弥补,4
2971,路上,4
2983,长得,4
2997,第九,4
3003,错过,4
3009,片方,4
3029,闹,4
3046,国外,4
