,分词,计数
8861,睇,5
8886,保证,5
8943,留下,5
8994,带来,5
8998,无比,5
9037,想起,5
9044,一言难尽,5
9129,掉,5
9173,毒品,5
9202,争斗,5
9209,重点,5
9244,长得,5
9271,这才,5
9297,家人,5
9326,只会,5
9357,拟人,5
9414,一分,5
9464,影迷,5
9566,娱乐性,5
9567,味儿,5
9596,侠,5
9600,斩,5
9703,保护,5
9715,结构,5
9769,信息,5
9823,接近,5
9839,有趣,5
9878,剩下,5
9886,麦路,5
9890,篇幅,5
9923,废话,5
9959,粗制滥造,5
10018,东北,5
10166,想法,5
8,一塌糊涂,4
29,风范,4
33,雕琢,4
36,一個,4
79,久违,4
99,单位,4
111,继,4
142,直奔,4
169,好玩,4
200,背叛,4
216,两年,4
222,信任,4
238,追求,4
246,仙侠,4
265,终究,4
309,前期,4
341,港人,4
366,儿女情长,4
369,之上,4
370,拿捏,4
377,雷洛,4
386,侠客,4
549,影,4
553,凌乱,4
579,视感,4
597,丑,4
604,层层,4
609,4D,4
611,极具,4
632,歌舞片,4
635,外国,4
645,要死,4
690,80,4
713,未必,4
719,默默,4
744,段,4
808,保留,4
853,负重,4
873,等哥,4
890,跟着,4
895,立场,4
903,打鬥,4
910,远,4
965,酷炫,4
1015,更大,4
1125,众生,4
1141,咗,4
1214,可笑,4
1221,战斗力,4
1228,内地,4
1268,好几个,4
1269,天空,4
1273,赏金,4
1276,缺陷,4
1324,精品,4
1329,战场,4
1378,21,4
1382,万,4
1443,佳句,4
1497,不见,4
1504,键盘,4
1531,夸张,4
1620,谈不上,4
1622,无语,4
1631,字幕,4
1661,入侵,4
1687,提,4
1705,救女,4
1712,唔,4
1721,高度,4
1790,刀,4
1799,活,4
1815,正确,4
1840,设置,4
1920,满满的,4
1971,没能,4
2010,此片,4
2017,点映,4
2021,指向,4
2043,係,4
2074,丁可,4
2076,行侠仗义,4
2119,证明,4
2155,相关,4
2157,新一代,4
2175,放弃,4
2209,怪物,4
2217,low,4
2226,粿,4
2236,张曼玉,4
2264,A,4
2290,眼前一亮,4
2318,级别,4
2336,上个世纪,4
2364,一丝,4
2390,太过,4
2392,狙击枪,4
2400,拉满,4
2401,叨叨,4
2402,血肉,4
2419,开心,4
2435,霍穗强,4
2436,燃爆,4
2520,這麼,4
2578,不伦不类,4
2604,关键,4
2614,多分钟,4
2625,精华,4
2632,公园,4
2639,大于,4
2652,凑,4
2675,噱头,4
2693,要好看,4
2700,体系,4
2716,毫发,4
2718,暗殺,4
2760,装,4
2835,几分,4
2836,多余,4
2868,大叔,4
2914,老大,4
2923,廉政公署,4
2929,具备,4
2982,精美,4
2986,漏洞,4
3015,度,4
3018,日式,4
3048,剧里,4
3093,稍,4
3098,定义,4
3105,包袱,4
3137,第一场,4
3150,高危,4
3210,诗意,4
3261,登场,4
3268,卻,4
3274,有血有肉,4
3284,疾速,4
3296,心有,4
3326,大型,4
3347,倒叙,4
3386,一度,4
3416,粉丝,4
3476,权贵,4
3521,融入,4
3522,裏,4
3523,挺帅,4
3560,配,4
3594,残酷,4
3602,新人,4
3642,随意,4
3656,盲人,4
3658,cosplay,4
3694,抓住,4
3700,最惨,4
3731,還是,4
3733,不佳,4
3772,中央,4
3814,考究,4
3832,危险,4
3867,狙擊,4
3881,尊重,4
3903,中途,4
3912,报,4
3927,难以,4
3979,真诚,4
3984,感官,4
3993,堪称,4
4064,無聊,4
4084,审核,4
4124,大部分,4
4152,全场,4
4193,潮汕人,4
4213,躲,4
4246,看好,4
4250,仔,4
4275,人面,4
4289,绣春刀,4
4299,相杀,4
4321,令,4
4346,资源,4
4351,享受,4
4354,城,4
4394,喊,4
4435,陪,4
4452,换来,4
4496,短片,4
4524,审查,4
4557,沉稳,4
4589,雖然,4
4610,理想,4
4674,高智商,4
4693,造,4
4696,缺失,4
4722,一气呵成,4
4733,流水,4
4735,江河,4
4747,狂暴,4
4773,海报,4
4805,揭开,4
4887,剧中,4
4916,作用,4
4960,看得出来,4
4972,底子,4
5035,什麼,4
5052,非要,4
5092,意境,4
5095,人性,4
5110,家国,4
5162,虚构,4
5215,拍法,4
5224,人心,4
5257,泪,4
5271,时而,4
5290,有时候,4
5326,长大,4
