,分词,计数
6504,欣赏,4
6512,电话,4
6519,夜游,4
6524,道,4
6532,绝,4
6567,初中,4
6687,科幻,4
6697,无限,4
6711,林孝谦,4
6715,目标,4
6770,出国,4
6778,特供,4
6804,倒计时,4
6810,国产电影,4
6813,分屏,4
6845,事儿,4
6852,碰撞,4
6870,戏剧化,4
6941,心底,4
6958,影城,4
6985,取景,4
6986,杨,4
6991,医院,4
7045,张婧,4
7069,太有,4
7127,早上,4
7130,写实,4
7152,内地,4
7161,价值,4
7194,商业,4
7195,餐厅,4
7199,帅哥美女,4
7266,聪明,4
7314,平凡人,4
7345,面,4
7353,熬过,4
7427,韭菜,4
7470,这类,4
7485,剧迷,4
7540,午夜,4
7550,拖,4
7646,慢慢,4
7676,料理,4
7741,谈过,4
7742,基调,4
7751,隔,4
7769,相比,4
7794,懂得,4
7823,功力,4
7878,心爱,4
7917,红,4
7930,廉价,4
7937,去年,4
8038,改编,4
8045,装,4
8051,从头到尾,4
8109,学校,4
8139,如果说,4
8202,热闹,4
8209,达成,4
8225,学习,4
8226,解放,4
8314,一如既往,4
8342,信服,4
8368,22,4
8387,阳光,4
8480,7.5,4
8513,林,4
8526,起码,4
8562,客观,4
8570,男帅,4
8571,挑,4
8574,大声,4
8575,方言,4
8591,倒流,4
8594,层面,4
8603,过时,4
8623,女美,4
8657,小人物,4
8673,迷,4
8674,转身,4
8730,擅长,4
8738,邂逅,4
8740,三部,4
8765,重逢,4
8786,顾森西,4
8805,终究,4
8813,观察,4
8865,坏,4
8869,生活气息,4
8882,微博,4
8885,负分,4
8892,自信,4
8894,音乐,4
8906,仅,4
8915,前提,4
8925,现场,4
8927,父母,4
8931,值,4
8947,作者,4
8948,主任,4
8949,稳定,4
9043,亲,4
9050,美的,4
9055,太过,4
9059,饭,4
9081,五官,4
9098,半小时,4
9121,回味,4
9133,串联,4
9151,前半部,4
9153,老土,4
9180,原版,4
9190,女主颜值,4
9235,2021,4
9302,影视作品,4
9374,跳河,4
9375,確實,4
9376,等待,4
9410,质量,4
9435,记录,4
9470,诶,4
9478,强大,4
9486,意识,4
14,桌子,3
16,荣耀,3
21,拿捏,3
31,情结,3
53,冒犯,3
73,如鲠在喉,3
79,活,3
87,90,3
93,看得出来,3
120,没头没尾,3
132,异常,3
133,280,3
137,亲密关系,3
160,缺,3
166,次,3
219,这份,3
220,热辣,3
226,大众,3
231,活在,3
233,心酸,3
238,浪费时间,3
250,收,3
290,太难,3
