用户名,评论时间,评论内容,评分,赞同数
常青,2023-04-29 10:02:03,黄景瑜不愧是我的体制内男友，谁不爱看他在内娱服兵役啊！这次饰演检察官，一出场就一身正气，真的太帅了！和白百何演的律师在法庭上唇枪舌战，简直不要太精彩！万万没想到黄景瑜和白百何竟然有一些爱情线，黄景瑜直球告白给我笑发财了，还有点子好嗑是怎么回事！,40,29
𝓡𝓸𝓸𝓴𝓲𝓮📌,2023-04-29 21:30:42,【剧透】算是超出预期，和［毒舌律师］差不多水准，但存在几个问题。1是整体抽丝剥茧偏严肃悬疑，但加入爱情线和喜剧元素，混合得不够好。2是挖出市长boss后，调查过程可进一步铺开，以增加影片深度。,20,4
西南季风,2023-04-29 19:58:59,自己脸盲确实严重了，王丽坤和白百何在影片里有时会分不清,40,1
为了忘却的纪念,2023-05-01 13:46:32,剧情？人物？表演？对白？要啥没啥。麦导你被绑架了吗？不如去看《守护解放西4番外》,10,7
Bryan·Mai,2023-05-01 22:59:11,感觉看了部TVB电视剧总集篇，字幕字体像word文档的默认设置，配乐和画面走不到一起，视听设计、电影语言几乎没有。台词感觉是粤语放到翻译软件里面转录出来，完全不是大陆人日常口语化表达的feel。或者这么说吧，白百何＝陈法拉、黄景瑜＝张继聪、王千源＝古天乐、冯绍峰＝林家栋、王丽坤＝林嘉欣，把台词换成你记忆里港剧的样子，或许突然间就毫无违和感了（笑）。,20,2
AL Rorschach,2023-04-29 16:08:48,真相原来就是越挖越多的，情节设定也非常的精彩，值得反复推敲。,40,11
鱼罐头,2023-04-30 00:07:31,黄景瑜能不能牢牢的把制服焊在身上，看得我都想去考公当检察官了。,40,8
jxw611,2023-04-29 20:39:12,好于廉政风云，初期庭审戏拍的很不错，十分针锋相对。缺陷还是麦兆辉的局限性，气质上还是太港片了，比方说岳云鹏的电脑天才设定（直接机械降神），反派直接在闹市开车撞检察官诸如此类的。,30,7
Daisy,2023-04-30 17:18:57,人性是有黑暗一面的，你把黑暗的一面展现他人，反之会有更黑暗的人性展现于你,40,4
ZOE1412,2023-04-29 13:35:26,透过影片让我们了解了现实中检察机关工作的缩影，呜呜~检察官们真的是好样的,50,8
芦苇花,2023-04-29 00:30:22,悬疑向电影，幽默和爱情戏份也做的不错，有一张票买到三部片的感觉，整体性和完成度四星。选择障碍的话这部男女咸宜，不出错。黄景瑜演技有进步。,40,45
Leon·Yang,2023-04-30 22:23:29,电影从检察官的视角向大众显现了罪案的公诉过程，以新颖的视角，让人们了解了案件,40,10
吃菜不吃呱,2023-04-29 14:44:21,挺喜欢包贝尔演得坏蛋 除此之外 没有了,20,9
小楼一夜听春雨,2023-04-30 18:53:10,很喜欢黄景瑜，白百何，王丽坤在里面的表演，电影剧情悬疑节奏扣人心弦，检察官的正义表现的淋漓尽致,40,3
开过心的开心,2023-04-30 14:20:18,王丽坤这贱人的还能播？,-t,3
艾米莉,2023-05-06 12:22:05,请个合格的编剧这么难么,20,5
杜小德,2023-04-29 12:08:50,看《检查风云》，无论是在荧幕中还是现场互动，黄景瑜的声线就从来没有高起来过，一直处于一种……十分低沉的调上，也是很神奇了，剧情悬疑感设置的还不错，看着很带感。就是检察官的身手看着甚至比刑警都厉害，也是有些厉害的离谱,40,14
胡桃树,2023-04-29 12:15:30,电影在处理案中案中还牵扯出了盗墓元素，不仅丰富了情节，增加了人物的复杂性，也令电影看点十足。,40,11
井戒,2023-04-30 16:48:03,人生第一个小目标完成。其他的，尽人事，听天命。,-t,0
陈春先,2023-04-30 21:36:25,最近标记的两星电影有点多了。我怀疑这是一部AI生成的电影。,20,4
阿西,2023-04-29 12:16:48,或许这部电影想告诉我们的是，正义永远不会迟到，而罪恶永远会被消除吧,40,7
摩羯座的猫,2023-05-07 21:51:56,形式大过于故事,10,1
