用户名,评论时间,评论内容,评分,赞同数
东东,2023-05-02 00:39:51,陈飞宇与周也颜值在线、cp感强，看起来也很太养眼了。完全超越一般狗血的爱情片，倒数说爱你更像是童话一般的爱情，男女两人的互相救赎，在爱情的元素之上加入奇幻色彩。两人因为生日蛋糕相识，时间倒流的道具也是生日蜡烛，周也的工作是蛋糕师。两人从小时候的相识、到长大婚礼上的偶然相遇，故事浪漫而又感动。很喜欢电影里很浪漫的一句话：听说初雪的时候，爱的人就会出现。当电影里再次下雪，两人再次相遇，无论世界再大兜兜转转还是会遇见你。,50,14
再也不嗑了,2023-04-29 01:46:24,人生啊，不能太早遇见太过惊艳的人，不然余生全是他的影子，余生看到的每一个人你都会觉得不如他，太伤心了,40,3
tutsu_,2023-05-01 12:09:20,陈飞宇的脸太适合演爱情片了，爱情的内核就是相互付出，这个观点真的很好，围绕这个主线，男女主互相救赎，真正的爱情就是可以为对方付出任何代价。另一条线有关坦诚，对家人对爱人都要坦诚，因为最亲近的人有全部的知情权。看了超前观影，爱情片最容易同质化，这片还是和其他爱情片有差异的，不过HE或BE都无区别啦，毕竟，听闻爱情，十有九悲。,40,21
梁眼看电影,2023-04-28 22:36:18,抱着极低的期待，结果发现还不错。周也真是宝藏女孩，有颜又能演，未来可期！,40,8
JJLin10969,2023-04-29 09:35:20,电影情节紧凑毫不拖沓，彼此为爱可以付出任何代价！我想说，电影以这样的形式弥补了我们现实生活中的遗憾,50,4
锤子小高,2023-04-29 12:18:15,回到家谷雨轩看到两个人满墙的照片，也会感觉到难过吧,40,4
小军师,2023-04-29 13:46:13,那个夜晚，谷雨轩在那一刻，才恍然自己有多么爱她，可一切为时已晚了啊。,40,3
杜夫特,2023-05-02 00:24:42,看着电影，烂的跟我曾经的爱情一样心绞痛,20,7
陳顏,2023-05-04 14:04:35,林孝谦快成为爱情片导演中的王晶了。,20,2
一囧眉,2023-04-28 21:31:05,整个故事其实有点像以前的《我在时光尽头等你》，就是男女甜甜恋爱，女突然死了，男的要去倒流时光追回她。但这个电影比《时光》多了一个翻转，整个剧的节奏，情绪，画面都不错，看了一下编剧和导演都是台湾人，不得不说台湾做情感片是至少及格的。,30,2
大大大大大,2023-04-28 22:15:23,浪费我时间，男主面瘫凸嘴，最重要的是一做表情脸部肌肉控制不住乱飞，女主还可以，剧情总感觉在哪看过,10,27
八阵怜,2023-04-29 02:02:07,爱情里面考验的是什么？或许是坚持，或许是勇气，这样或许能够创造奇迹,50,6
豆辰,2023-05-02 10:22:02,不好看,10,7
北茴,2023-04-29 12:10:57,-整个画面真的很文艺风，适合小情侣一块去看,40,3
徐青杳,2023-04-29 16:08:05,两个人在暧昧时期的氛围感直接拉满了好吧，眼神都在拉丝,40,3
盲盲黑夜漫游,2023-04-29 14:02:02,陈飞宇和周也真的太有CP感了，我都忍不住嗑起来他们俩了,40,2
拉拉露,2023-04-29 09:32:54,看完了飞宇的倒数说爱你！不得不说，这样的爱情双向救赎的情节第一次见，很新颖也很好看,40,7
欢天喜地龙四宝,2023-04-30 21:56:03,我就是想看看有多少小韭菜，典型劣币驱逐良币，这种片子上院线一日游就可以了,10,16
毛毛妤Monica,2023-05-04 15:33:03,关键时刻俩人能不能待在家里抱着，不要在大马路上拖手手等死神来啊//纪念下近五年来在电影院看的第一部片子，没想到周也演技不错，让我为这本不抱任何期待的水水爱情片留下几滴珍贵的泪水。,30,1
徐乐乐爱旅行,2023-04-29 13:16:16,爱情片最容易同质化，这片还是和其他爱情片有差异的，很精彩~,50,6
逸动控股,2023-04-29 15:33:55,我们大家都不要饭了，男主和女主的错误呀，有什么事情就要及时的沟通,50,6
虎豹小霸王,2023-04-30 23:07:49,编剧功力不行，很多地方只有大概情节，没有填充能说服打动人的细节，比如女主妈妈对她职业的接纳、男配女配和好等地方。整体剧情比较简陋，台词也很俗气，但是几次重启还挺有意思的，本还以为会被反复重启的剧情无聊到。我觉得周也是曾经考过70分的演员。虽然她后来经常交三四十分的试卷，但她还是有潜力考及格的。阿瑟在片中偶尔还是木，但多数时候竟然还ok。,30,1
驸马🌊,2023-04-29 11:51:16,“浪漫的不是海，是吹着海风的我们”韩书妍也是情话输出小达人呢~,50,6
AAA,2023-05-07 15:53:49,陈飞宇接的这个本子挺适合他的，虽然是题材不算新鲜的爱情片，但是里面有很多小东西是很吸精的,40,1
𝕬𝖗𝖎𝖆𝖉𝖓𝖊,2023-04-29 16:11:32,也真的美，其他没什么可取之处了,30,0
阿瞢,2023-04-29 17:54:07,怎么说呢，故事是成立的，演员的表演也及格，但真的拍得太！粗！糙！了！还有这个配乐和拆房子情节，会不会过于“致敬”不能说的秘密了一点？,30,0
不徐,2023-05-02 00:39:37,四月底看的首映，其实他俩还挺甜的。非原创相当于翻拍了，很容易被粉丝和年轻情侣接受，只是个人不太喜欢这种资本运作方式，如果原创性更强，也许会给更高的分。,20,4
小艾不爱吃糖~,2023-05-07 07:19:53,周也感觉进步真的蛮大，阿瑟也没有辜负我的李峋滤镜。,40,1
