用户名,评论时间,评论内容,评分,赞同数
东门捷径小V,2023-04-15 11:16:05,不仅延续了剧版的优点：轻松幽默、网感好，生活和职场戏接地气，三位女主的性格刻画和感情模式的典型性也更鲜明了。再次感慨主创能精准捕捉普通人的毒眼是创作的核心能力，看她们的经历会时不时代入自己和身边的朋友。为题材加一星，很需要这样随意walk in电影院就能收获的舒服愉快的观影体验。,50,30
Mr. Infamous,2023-04-14 23:42:42,我就知道承诺与许愿都是回马枪式的呈堂证供，红烧肉肯定是吃不上的，说消失也真消失的，向东流的假话，本质上是真话，你喜欢上一个人，爱上，然后失去，就是痛苦的。任何情感的附着都是场冒险，怀上与娩出，痛与乐的分配、承担、接纳都不尽相同，人跟人在认知与习惯中，就一定有错拍，错到你在固态关系里，无从分辨真伪，或者熵增，但又不致于天花板滴水，就算作人生的瓢泼。陈正道还是很懂在情情爱爱里面玩俄罗斯方块，玩狼人杀，玩英雄联盟，也很懂当下女性与基佬对选角、对话题的普遍兴致。难得在这么一个环境里，有贴合食色性也的美丽与哀愁，有神有鬼，有你有我。期待续集，更期待上次就说的黄宇番外篇，所以主创还记不记得有他？！,40,20
Ocap,2023-04-26 16:37:30,“没多好，但不能少”的那种好。,30,3
天马星,2023-04-13 23:28:34,这才是真的时代姐妹花，永远不分家吧～,40,12
居无间,2023-04-15 10:59:43,跟电视剧一样好看！无需抓马的情节，通过日常戏份就剖开了女性所要面对的困境，调性清新、轻盈、举重若轻，真的是非常难得的都市轻喜剧。刘净、方欣、夏梦性格迥异，她们的相处和谐有趣，能碰撞出幽默的火花（台词写得好棒！）。同时，故事也揭示出了她们之间难以调和的矛盾。影片最温馨之处是，它在传递一种观念：美好的友谊/爱情不是去寻找所谓完美的同伴，而是愿意真诚沟通，勇敢接纳不完美的彼此。,40,53
张薇薇,2023-04-16 11:12:05,已经看过了，还是剧好看，电影有点强行了,30,1
Fairy🍒,2023-04-08 22:20:42,"电影时长限制了发挥，节奏没有电视剧好，情节铺得太赶。但依然是好看的。跳舞的争吵戏编排得非常精妙，和剧版的夜店戏有异曲同工之妙了。疫情情节让影片更接地气，人物刻画又不落俗套，三位女性都没有按照社会约定俗成的一些常规轨迹走。很喜欢影片中说的，“现在这个社会批评一个人很容易，所以我不想要你们自我批评。”方欣、夏梦、刘净都不是多么完美的人设，但我就喜欢她们性格有棱有角，这部影片没有要求女性做“应该”做的事，而且鼓励女性去做喜欢做的事，很棒。喜欢开头和结尾的呼应，在30岁的年纪，可以冲破世俗的枷锁，跳想跳的舞，过想过的人生。
《爱很美味》填补了国内女性题材喜剧的空白，电影独立成章来看仍是佳作，但作为剧粉来说还是有点小小遗憾，刘净的线因为宋超和姜山木戏份的缺少显得很不连贯。彩蛋就当做是下一篇章的约定了！",40,15
YiQiao,2023-04-19 17:43:23,我这就上豆瓣给它打三星的中评//完全是走进电影院看电视 又碍于时长可以展开到剧集长度的情节统统囫囵带过 几乎就是姐妹过年聚会的感觉 喝一杯咖啡说一通八卦散后好像感情又得到了稳固但具体什么事儿都没干//还是只有方欣的故事线紧紧抓住了防疫的即时感 可惜还是什么都没做就直接卡没了//夏梦这边还是围绕着她“不择手段”的人设展开 只有最后一句的信息量有趣//水瓶座的刘净也仅仅是交代了姜山木的下场//说没意思又有点意思 说有意思又很没意思 但非常希望陈正道能把三位姐妹搞成我的成都亲戚 是真的很想看第二季啊//上映几天后的工作日下午场才看 影院也比较偏 只有前排一位姐妹在编剧安排的每一个笑点狂笑 哭没哭观察不到 不过她应该超级喜欢《爱很美味》吧,30,4
武侠小王子,2023-04-15 10:38:30,"这部电影展示了当代女性的生活图景，把背景放在了大成都，最大的特点在于真实。从刘净、方欣和夏梦这三个女孩的人生中，我们能很多看到了自己的影子，夏梦为了自己的业绩不惜哄骗男朋友帮忙打游戏，优秀上进却过度表现自我等，而刘净在恋爱和家庭的关系等处理中，演绎的也很真实，约会软件也超接地气。她们有快乐、有困惑、有不合也有高光时刻，最后更是""这个时代批评一个人太容易，我不想听你们自我批评""的名言震撼到，三人华丽舞蹈的圆满成功也是她们在都市中找回曾经自我的见证，不论大风大浪、姐妹的友情依然不变，结尾爱情和友情二者兼得，无比暖心。",50,97
Henrique Asano,2023-04-25 21:58:29,看得出是赶工制成的片子，剧本是写的够随意的，不过从类型上来说，这样的片子是值得鼓励的,30,1
