用户名,评论时间,评论内容,评分,赞同数
酱爆桑,2023-04-08 16:02:33,【1】哎呀我嘞个去幽默的呀。非常符合我对这个电影的所有期待，因为它模糊了致敬和倚老卖老的情怀割韭菜。同样讲人与动物的关系，隔壁《忠犬八公》润物细无声，而这部只有一口一个的尬喊口号和硬扣题的龙虎武师精神。电影里的所有爱女儿，爱电影，职业精神东西刻画的越真，成片质量和现实之外就觉得假的廉价。成龙在电影里缅怀致敬自己，杨紫琼在电影里放弃过去，一个冲出去，一个困住自己。观众从来不欠成龙，星爷电影票，毕竟还人情一部《急先锋》一部《新喜剧之王》就够了。（一分给那些煽情的片段，因为确实被煽到了）,10,33
烈焰红唇龙,2023-04-08 23:04:11,真的是唏嘘，在经过龙虎武师带来对特技人和武师行业的关注之后，本可以借此交出一个终章式的总结之作，最终在节奏不一和逻辑硬伤以及强行煽情中草草离场,20,6
Yn.,2023-04-07 15:33:29,"4.7广州路演
 要是按明星见面会算，这票值
 要是只是看这个电影，那这票不值",20,27
AaronKing,2023-04-07 20:27:33,都住院了还有空看光盘？？？,10,75
阿卜,2023-04-12 21:13:16,致敬是没问题的，就是电影整体有点一言难尽，当然差生也可以致敬，没啥问题。打戏挺好，但父女情的部分时常是尬住的，谁能想到全片演技最好最稳定发挥的竟是那匹马。,20,6
开平彭于晏,2023-04-07 21:39:15,【34】好“硬”的一部片子，我是说它节奏一塌糊涂，配乐使劲儿煽情，父女情强行修复，部分笑料低俗，矛盾升级突兀，别的片子多线叙事是在织毛衣，你的线组合在一起毫无化学反应，而是在打死结……存子的演技无关她的黑料，表现的还不如刚出道那会儿。众星云集拍好了叫群星荟萃，拍烂了叫人头堆砌；龙叔的传奇过往用好了是锦上添花，你滥用那叫场外求助，很不幸，都是后者；值得一提且只有一提的是打戏真的很亮眼。唉，以为快要结束了结果发现还有半小时，真的很难过。@龙马精神,10,76
千非绝,2023-04-09 13:40:47,资本真的要和大众对抗，完全不考虑大众的感受？硬捧lhc？,10,36
momo,2023-04-09 18:50:24,有些地方好尬，有些地方好哭。成龙不管舆论怎么评价他这个人，事业是真的好拼，现在的演员嘛，哈哈。这可能就是他通篇在说啥龙虎武师精神的原因吧。,40,13
达令街27号,2023-04-10 02:02:44,刘浩存这颗老鼠屎，大年初一不想看到，资本强行喂屎么？吃着人血馒头，残疾小女孩在家看到电视上伤害她的凶手的女儿尽情的舞蹈？恶心,10,37
行星音乐,2023-04-10 10:53:50,"四星，电影三星半，多一点的必须致敬大哥。
记得好多年前大哥就说拍不了动作片了，伤太多年纪大了，今年还是上了动作片。
4/5上海首映大哥说：还是会每年拍一部电影的，因为有这么多影迷支持。
可能特效大片看多了的朋友觉得大哥的动作片没什么大不了，但大哥的打戏是不靠特技的，是一流的，是仍然让我看得惊心动魄，泪眼婆娑的。
69岁的大哥从影60年了，成龙的动作片真的全世界也鲜有超越的。
回归电影本身：
赤兔真的太灵气太可爱了，为看赤兔都值得买票~
笑点很多，更多的还是泪点。父女情我感同身受，所以泪很难止住。
麒麟本人挺帅气，怎么角色造型略油腻~
大米和樱子的故事感觉少了点后续，还挺期待大米改邪归正跟着老罗学武，樱子能再站起来的。
部分剧情老套也是事实， 赤兔懂人话通人性我可接受，下跪有点太刻意。",40,5
